,y,SRCH_EFRT,PRDV_CNT,CAT_CNT,EVNT_CNT,SAL_PRD,day_off,SEX_CD,AVG_SAL_AMT,AGE_30,AGE_50,AGE_60,AGE_1020
88928,1,13,4,1,13,45000,1,0,15852.5,1,0,0,0
88929,1,12,4,2,12,47200,1,0,15852.5,1,0,0,0
88930,0,24,7,2,24,98400,1,0,15852.5,1,0,0,0
88931,1,38,11,1,38,156000,0,0,15852.5,1,0,0,0
88932,1,12,4,0,12,0,1,0,15852.5,1,0,0,0
88933,1,15,3,0,15,0,1,0,15852.5,1,0,0,0
88934,1,6,2,0,6,0,1,0,15852.5,1,0,0,0
88935,1,10,2,0,10,0,1,0,15852.5,1,0,0,0
88936,1,6,2,0,6,0,0,0,15852.5,1,0,0,0
88937,1,6,1,0,6,0,0,0,15852.5,1,0,0,0
88938,1,4,1,0,4,0,0,0,15852.5,1,0,0,0
88939,1,8,2,0,8,0,0,0,15852.5,1,0,0,0
88940,1,6,2,0,6,0,1,0,15852.5,1,0,0,0
88941,1,4,1,0,4,0,1,0,15852.5,1,0,0,0
88942,1,5,2,0,5,0,1,0,15852.5,1,0,0,0
88943,1,9,3,1,9,24000,1,0,15852.5,1,0,0,0
88944,1,7,2,0,7,0,0,0,15852.5,1,0,0,0
88945,1,4,1,0,4,0,0,0,15852.5,1,0,0,0
88946,1,7,2,0,7,0,1,0,15852.5,1,0,0,0
88947,1,6,2,0,6,0,1,0,15852.5,1,0,0,0
88948,1,27,3,0,27,0,0,0,15852.5,1,0,0,0
88949,1,30,7,1,30,64850,1,0,15852.5,1,0,0,0
88950,0,13,3,0,13,0,1,0,15852.5,1,0,0,0
88951,1,24,8,1,24,0,1,1,131787.82894736843,1,0,0,0
88952,0,9,3,0,9,0,1,1,131787.82894736843,1,0,0,0
88953,1,8,3,0,8,0,1,1,131787.82894736843,1,0,0,0
88954,1,5,1,0,5,26000,1,1,131787.82894736843,1,0,0,0
88955,1,7,2,0,7,0,1,1,131787.82894736843,1,0,0,0
88956,1,4,1,0,4,0,0,1,131787.82894736843,1,0,0,0
88957,1,10,3,0,10,0,1,1,131787.82894736843,1,0,0,0
88958,1,9,3,0,9,0,1,1,131787.82894736843,1,0,0,0
88959,1,4,1,0,4,0,1,1,131787.82894736843,1,0,0,0
88960,0,6,2,0,6,0,1,1,131787.82894736843,1,0,0,0
88961,0,6,2,0,6,0,1,1,131787.82894736843,1,0,0,0
88962,0,8,3,0,8,0,1,1,131787.82894736843,1,0,0,0
88963,1,12,2,1,12,0,1,1,131787.82894736843,1,0,0,0
88964,0,7,2,0,7,0,1,1,131787.82894736843,1,0,0,0
88965,1,9,2,0,9,0,1,1,131787.82894736843,1,0,0,0
88966,0,5,1,0,5,0,1,1,131787.82894736843,1,0,0,0
88967,0,11,3,0,11,0,1,1,131787.82894736843,1,0,0,0
88968,0,7,2,0,7,0,1,1,131787.82894736843,1,0,0,0
88969,1,10,1,0,10,0,1,1,131787.82894736843,1,0,0,0
88970,0,7,2,0,7,0,1,1,131787.82894736843,1,0,0,0
88971,1,49,11,1,49,0,1,1,131787.82894736843,1,0,0,0
88972,0,5,1,0,5,0,1,1,131787.82894736843,1,0,0,0
88973,1,7,2,0,7,0,1,1,131787.82894736843,1,0,0,0
88974,0,5,2,0,5,0,1,1,131787.82894736843,1,0,0,0
88975,1,6,1,0,6,0,1,1,131787.82894736843,1,0,0,0
88976,0,9,1,0,9,0,1,1,131787.82894736843,1,0,0,0
88977,1,6,1,0,6,0,1,1,131787.82894736843,1,0,0,0
88978,0,9,1,0,9,0,1,1,131787.82894736843,1,0,0,0
88979,0,6,1,0,6,0,1,1,131787.82894736843,1,0,0,0
88980,1,39,9,2,39,261800,1,1,131787.82894736843,1,0,0,0
88981,0,9,2,0,9,0,1,1,131787.82894736843,1,0,0,0
88982,0,38,9,3,38,47725,1,1,12775.0,1,0,0,0
88983,0,14,5,1,14,0,0,1,10641.666666666668,1,0,0,0
88984,1,34,13,1,34,299520,0,1,16993.75,0,0,0,0
88985,0,15,1,0,15,28000,1,1,16993.75,0,0,0,0
88986,0,4,1,0,4,0,0,1,16993.75,0,0,0,0
88987,0,18,2,0,18,26000,1,1,23436.666666666664,0,1,0,0
88988,0,12,1,0,12,7000,1,1,6375.0,1,0,0,0
88989,0,9,4,0,9,28000,0,1,6375.0,1,0,0,0
